farm,z,farmN,farmP
WA01,0,135.9472447,2.998650563
WA02,31751.5418,375.1555135,14.00488072
WA03,186981.1919,2521.554761,36.5721798
WA04,2.35E-05,140.8075046,29.88202101
WA05,6.08E-05,129.3648553,10.56723425
WA06,457326.0288,6044.090849,90.1448124
WA07,616729.2953,11814.22443,165.1002929
WA08,995263.5252,2426.177813,314.1873222
WA09,223631.2526,3083.411108,64.40290247
WA10,574950.4997,7605.859072,105.0741665
WA11,9.03E-05,606.536657,20.13913973
WA12,460187.1898,4270.609708,99.95769653
WA13,0,57.90923832,2.420270538
WA14,364267.8172,1672.31579,137.3244189
WA15,1.61E-05,71.17427574,5.997778451
WA16,1306203.446,3663.560951,96.94625038
WA17,9.01E-05,483.2596526,15.8764543
WA18,202932.944,3138.790414,77.49926456
WA19,-10879.39281,769.5180726,25.19576428
WA20,2396.095138,28.25104109,1.054258509
WA21,14177.83529,191.1789086,2.773082877
WA22,266271.5304,4956.279537,93.53022259
WA23,92105.33212,1441.937057,45.15223376
WA24,210905.0827,2934.687185,260.9116813
WA25,97054.78103,1444.259227,164.9327717
WA26,29955.79364,432.4836507,8.307375447
WA27,0,139.0465809,29.50813482
WA28,4.02E-05,212.8633546,6.896433582
WA29,0,41.11477156,1.718449287
WA30,0,719.3689612,101.3078768
WA31,20189.19178,89.64716777,14.57154754
WA32,208026.9256,2113.47765,102.0856115
WA33,-803.8328173,686.1039599,96.20034053
WA34,133337.5521,2726.397818,61.54612446
WA35,1188404.591,4868.161266,466.2934179
WA36,237087.3643,4671.271926,114.5394902
WA37,15010.80173,202.4360455,2.936005137
WA38,0,497.343829,72.27474452
WA39,366354.416,6317.235642,395.6827654
WA40,252783.0059,5267.548302,103.4384443
WA41,3.25E-05,374.1877683,10.79542059
WA42,0,154.9557309,4.444358106
WA43,0,1039.344771,20.69448521
WA44,0,348.2975723,26.09329025
WA45,91116.88478,265.9065891,34.98953649
WA46,267477.3652,3161.083373,136.9662381
WA47,345097.4786,5031.676833,71.45260434
WA48,-803.8329,756.4209017,106.5247548
WA49,84221.47132,1169.56135,47.81380127
WA50,90053.10074,1381.12364,71.14013224
WA51,645.386837,12.02346193,0.17288611
WA52,6.88E-05,450.8226366,63.48684497
WA53,104032.7124,1691.575603,101.4182403
WA54,40512.04925,121.9583573,0.096482989
WA55,893461.1321,2149.111246,86.94295079
WA56,0,1252.711092,189.2307626
WA57,61612.82908,830.9324022,12.05316409
WA58,299076.511,2586.82372,56.92897253
WA59,59222.79379,970.3593528,19.98792383
WA61,0,629.0601536,82.72193646
WA62,718197.2238,8375.86879,152.046239
WA64,43091.3698,848.786425,24.99502037
WA65,3826.134729,63.48782213,1.211859745
WA66,185161.1296,3069.115965,78.64507991
WA67,4.40E-05,263.9258992,56.0068245
WA68,126168.434,1653.406409,19.97310261
WA69,144989.0119,1302.02048,49.32079405
WA70,947740.407,2735.868012,369.7621687
WA71,139929.3868,1642.733938,80.56075878
WA72,79399.4018,873.8043366,38.37941315
WA73,0,298.114501,227.9338807
WA74,217625.8839,3101.825302,118.960397
WA75,2.47E-05,310.4759364,47.97993234
WA76,925915.1732,8736.547455,138.4599346
WA77,90360.65001,1297.629033,77.45319943
WA78,574811.7488,8160.9377,75.98749739
WA79,15304.82502,180.8561035,6.750609163
WA80,51452.74718,1013.600471,29.84917603
WA81,91648.92243,1186.598562,109.9644664
WA83,140962.1853,2691.398811,49.32525705
WA84,95922.08206,1499.566424,18.49187259
WA85,0,38.96484724,2.057039511
WA86,697541.3382,3128.840023,115.4305793
WA87,361785.0271,1644.171756,137.1046633
WA88,727794.7845,7154.77055,117.9568303
WA89,0,383.7795343,9.598530296
WA91,104968.6438,1154.327373,50.99911442
WA92,11217.40478,132.5642237,4.947741343
WA93,231954.4796,1065.080921,87.44394263
WA94,0,79.57125155,2.099528788
WA97,72443.60183,1340.272977,19.94859358
WA99,216579.064,2859.400129,42.71241922
WA101,1.10E-05,61.60306126,5.032752862
WA102,0,236.24853,9.874478438
WA103,32562.07942,566.0298174,9.516790403
WA104,156871.2247,708.8165056,183.9703656
WA105,251104.401,3850.797223,198.3674094
WA106,27137.28522,115.5782475,3.926890104
WA107,34520.1293,387.3103268,16.53530423
Total,18397313.87,187583.994,7393.487756
