,farm,EBIT,N_reduction,N_KgHa,farmN,NLRedFSM,NLRedEoFM,P_reduction,P_KgHa,farmP,PLRedFSM,PLRedEoFM,SOLVER,FEASIBILITY,dataset_naam,scenario,order_nr,Ebit_red
1,Total,19556180.99,0.344962775,16.8092803,245447.3975,112220.9465,17039.21168,0.244549306,0.489432921,8136.00295,2463.052894,170.6780624,NA,NA,overview__n30_p1.0KgHa_scen.csv,N:30 P:1.0,1,17.41842098
2,Total,20871487.07,0.253815127,19.64585313,279601.1098,80600.4875,14505.95838,0.205869809,0.521958206,8552.570841,2072.913447,144.2496186,NA,NA,overview__n35_p1.0KgHa_scen.csv,N:35 P:1.0,2,11.86416409
3,Total,21548063.97,0.207343245,21.4653112,297014.4751,66425.93458,11267.14581,0.21503809,0.522827173,8453.830899,2179.027011,136.8759957,NA,NA,overview__n40_p1.0KgHa_scen.csv,N:40 P:1.0,3,9.007124261
4,Total,22061234,0.157302734,23.16963055,315765.0327,49781.38218,9161.140736,0.205376869,0.534129215,8557.879676,2079.686444,132.1677867,NA,NA,overview__n45_p1.0KgHa_scen.csv,N:45 P:1.0,4,6.840116717
5,Total,22198128.68,0.136823301,23.82092626,323438.8309,45294.77491,5973.949882,0.20297392,0.536058071,8583.758793,2062.799476,123.1756369,NA,NA,overview__n50_p1.0KgHa_scen.csv,N:50 P:1.0,5,6.262039697
6,Total,19900480.95,0.313299976,17.6553734,257311.6874,103049.1854,14346.68287,0.099398656,0.575395147,9699.236831,1037.609662,32.88741366,NA,NA,overview__n30KgHa_scen.csv,N:30,6,15.96451572
7,Total,21895884.13,0.18914598,20.95853523,303833.1277,56368.46962,14505.95838,0.045404402,0.615985563,10280.74058,467.9193416,21.07398172,NA,NA,overview__n35KgHa_scen.csv,N:35,7,7.538353919
8,Total,22711956.7,0.127341871,23.21937204,326991.5942,36448.81548,11267.14581,0.030852389,0.637094114,10437.46188,318.5716637,13.70035877,NA,NA,overview__n40KgHa_scen.csv,N:40,8,4.09225363
9,Total,23225855.88,0.074850308,24.98336277,346660.5797,18885.83525,9161.140736,0.020830163,0.648648759,10545.39859,215.3431654,8.992149784,NA,NA,overview__n45KgHa_scen.csv,N:45,9,1.922167044
10,Total,23365335.4,0.053797379,25.65153578,354549.2713,14399.22799,5759.056372,0.018427215,0.650577615,10571.27771,198.4561977,0,NA,NA,overview__n50KgHa_scen.csv,N:50,10,1.333174823
11,Total,15493159.91,0.303576011,21.06292272,260955.3305,112377.7879,1374.437283,0.475720776,0.392721223,5646.34774,4832.797694,290.5884717,NA,NA,overview__p0.6KgHa_scen.csv,P:0.6,11,34.57569197
12,Total,20313748.62,0.185782391,23.36585057,305093.4901,69303.1107,310.9548053,0.330181076,0.470420601,7213.771581,3248.175652,307.7866722,NA,NA,overview__p0.8KgHa_scen.csv,P:0.8,12,14.21937457
13,Total,22420671.09,0.094397993,25.89340404,339335.9143,35371.64138,0,0.200205502,0.543267123,8613.57392,2032.984349,123.1756369,NA,NA,overview__p1.0KgHa_scen.csv,P:1.0,13,5.322290579
14,Total,23319660.9,0.037945701,26.98413601,360489.0147,14142.42172,76.11921941,0.062235194,0.626553911,10099.47743,651.5988562,18.65761913,NA,NA,overview__p1.2KgHa_scen.csv,P:1.2,14,1.526048484
15,Total,23422257.18,0.023053032,27.34978897,366069.4103,8638.145374,0,0.048210687,0.636804955,10250.51763,519.2161838,9.09E-05,NA,NA,overview__p1.4KgHa_scen.csv,P:1.4,15,1.092806267
16,Total,14712512.56,0.408907185,16.88130446,221486.9439,140804.9994,12415.61212,0.486356873,0.374630673,5531.799797,4968.805282,269.1288276,NA,NA,overview__n40_p0.6KgHa_scen.csv,N:40 P:0.6,16,37.87219913
17,Total,19550434.46,0.289715606,19.42432698,266148.929,97191.28254,11367.34388,0.343910898,0.451691917,7065.905045,3383.309614,320.5192477,NA,NA,overview__n40_p0.8KgHa_scen.csv,N:40 P:0.8,17,17.44268736
18,Total,22351497.74,0.155656551,22.46917485,316381.8697,46982.42077,11343.26503,0.122803825,0.582152405,9447.169385,1290.206635,32.35788699,NA,NA,overview__n40_p1.2KgHa_scen.csv,N:40 P:1.2,18,5.614394903
19,Total,22373125.77,0.155453408,22.47720824,316457.9889,46982.42077,11267.14581,0.121071422,0.583802385,9465.826913,1290.206635,13.70035877,NA,NA,overview__n40_p1.4KgHa_scen.csv,N:40 P:1.4,19,5.523064311
