farm,z,farmN,farmP
WA01,49099.10263,1359.472447,9.995501876
WA02,36041.34033,523.9602147,14.26885453
WA03,213801.4821,3120.736093,39.01032513
WA04,41359.50377,1408.075046,99.6067367
WA05,40709.97921,1293.64856,35.22411418
WA06,526987.8518,7691.828816,96.15446656
WA07,675809.2307,15912.41577,181.943677
WA08,995263.5252,2426.177813,314.1873222
WA09,281411.0205,5106.360828,65.61681352
WA10,708737.6509,12322.49871,122.0482976
WA11,216693.442,6065.36657,67.13046575
WA12,481497.9532,5929.997746,99.95769653
WA13,28982.50502,579.0923832,8.067568459
WA14,433894.548,3344.63158,156.9960202
WA15,10695.2515,711.7427617,19.99259484
WA16,1309767.36,3710.767987,96.94625038
WA17,144690.6423,4832.596526,52.92151434
WA18,243557.1041,4750.551611,78.96002503
WA19,134906.4544,9814.19893,83.98588093
WA20,2719.820063,39.45676131,1.074129913
WA21,16211.48184,236.6075602,2.957955068
WA22,273660.9984,5600.279707,98.54622546
WA23,124469.0208,2821.794632,52.80345429
WA24,235673.4722,3543.508864,260.9116813
WA25,98100.62996,2066.179152,173.9246776
WA26,36299.40442,658.6518074,8.463958683
WA27,40842.01042,1390.465809,98.36044941
WA28,54242.20704,2128.633546,22.98811194
WA29,20578.26359,411.1477156,5.728164291
WA30,232549.7419,7193.689612,337.6929225
WA31,20756.19015,105.9659193,14.8371322
WA32,239855.0775,3780.818698,133.5674624
WA33,175226.7584,6861.039599,320.6678018
WA34,201097.2498,6523.690537,71.97535313
WA35,1473315.332,11356.8412,533.0895369
WA36,334344.82,9862.657093,133.9486495
WA37,17163.92769,250.5396603,3.131738813
WA38,95752.1522,4973.43829,240.9158151
WA39,391391.2303,6986.059239,397.9288178
WA40,355871.7461,11095.72218,120.9664885
WA41,85057.18607,3741.877683,35.98473529
WA42,49173.86725,1549.557309,14.81452702
WA43,221709.9924,10393.44771,68.98161736
WA44,101114.9725,3482.975723,86.97763416
WA45,91116.88478,265.9065891,34.98953649
WA46,274940.577,3342.049147,136.9662381
WA47,397553.3199,6442.216323,76.21611129
WA48,244524.9571,7564.209017,355.0825159
WA49,92885.80132,1674.244007,50.3780437
WA50,90053.10074,1381.12364,71.14013224
WA51,656.175998,13.08320125,0.182215546
WA52,145732.4927,4508.226366,211.6228166
WA53,105153.7546,2419.99371,106.947422
WA54,40512.04925,121.9583573,0.096482989
WA55,893461.1321,2149.111246,86.94295079
WA56,267745.7386,12527.112,630.7692268
WA57,70450.47707,1028.381687,12.85670836
WA58,309960.2502,3008.850831,59.98205935
WA59,63968.02295,1108.608559,19.98792383
WA61,97095.04389,6290.601536,275.7397882
WA62,791523.8742,11088.42218,155.9448605
WA64,58232.68303,1661.030191,29.23052323
WA65,4343.065446,88.67014264,1.234701727
WA66,275221.5422,7244.359076,91.97179267
WA67,77532.39675,2639.258992,186.689415
WA68,128850.9129,1839.161745,21.0442552
WA69,163569.1782,1925.919356,50.21972717
WA70,955930.9462,2854.538005,369.7621687
WA71,141437.2467,2350.120083,84.95281955
WA72,98768.81627,1435.992592,39.10281523
WA73,97383.68275,2981.14501,759.7796023
WA74,320318.4425,7124.236574,139.1186961
WA75,100610.679,3104.759364,159.9331078
WA76,960050.9977,10785.02882,138.4599346
WA77,98056.28933,1503.64373,77.45319943
WA78,707821.6619,12727.91161,87.70258181
WA79,17372.58654,252.5923234,6.877849376
WA80,69532.05548,1983.562565,34.90723427
WA81,91648.92243,1186.598562,109.9644664
WA83,156680.4025,3487.292729,51.98699098
WA84,119043.9753,2026.441115,20.26506585
WA85,19041.19899,389.6484724,6.85679837
WA86,861042.331,7308.492532,131.9659075
WA87,433200.2014,3339.348422,156.7447848
WA88,750697.9597,8552.052342,117.9568303
WA89,115455.1312,3837.795347,31.99510125
WA91,131245.419,1908.116325,51.96038148
WA92,12732.93455,185.1455639,5.04099984
WA93,276290.6283,2129.735895,99.97020994
WA94,12618.3291,795.7125155,6.998429294
WA97,75480.31607,1508.196979,21.02507755
WA99,249697.4086,3644.849653,45.55991384
WA101,19388.54191,616.0306126,16.77584287
WA102,118893.6318,2362.4853,32.91492813
WA103,36009.07225,719.557121,10.03034402
WA104,156871.2246,708.8165056,183.9703656
WA105,251104.401,3850.797223,198.3674094
WA106,27899.4156,136.6173138,3.998462584
WA107,42553.3454,618.6301566,16.84697323
